Partlist exported from D:/My Dropbox/Eagle/µControl/ucontrol.sch at 2011-01-25 21:10:55

Qty Value                Device               Parts                       
1                        PINHD-1X1            JP3                         
1                        PINHD-1X2            JP5                         
2                        PINHD-1X3            JP6, JP7                    
2                        PINHD-2X8            JP1, JP4                    
1                        PINHD-2X9            JP2                         
2   1k                   R-US_R0603           R3, R4                      
4   1k65                 R-US_R0603           R5, R9, R10, R11            
1   1n                   C-EUC0402            C8                          
1   1u                   C-EUC0603            C1                          
1   3k                   R-US_R0603           R1                          
2   5V                   ZENER-DIODESOT23     D1, D2                      
1   9k1                  R-US_R0603           R2                          
4   10k                  R-US_R0603           R6, R7, R8, R12             
2   10n                  C-EUC0603            C4, C15                     
2   10u                  C-EUC0805            C9, C11                     
1   12MHz                CRYSTALHC49UP        Q1                          
2   18p                  C-EUC0603            C13, C14                    
7   100n                 C-EUC0603            C2, C3, C5, C6, C7, C10, C12
1   470n                 C-EUC0603            C16                         
1   555077-1             555077-1             J2                          
1   ACS714               ACS712               U1                          
1   AP1117D5             LD117ADT33TR         IC5                         
4   GRN                  LEDCHIPLED_0603      LED1, LED2, LED3, LED4      
1   GSOT05-GS08          BAS70                D3                          
1   LM60                 LM50                 IC3                         
1   MCP2200              MCP2200              IC6                         
1   MCP6282              MCP602SN             IC1                         
1   MF-NSMF050-2         GENERIC_1206         PTC1                        
1   MI0805K400R-10       WE-CBF_0805          L1                          
1   MINI-USB-UX60-MB-5ST MINI-USB-UX60-MB-5ST X2                          
4   MOUNT-PAD-ROUND3.2   MOUNT-PAD-ROUND3.2   H1, H2, H3, H4              
1   OSTTE-5              OSTTE-5              X1                          
1   PIC18F44K22          PIC18F44K22          IC2                         
1   PJ-029-SMT           PJ-029-SMT           J1                          
1   ULN2803              ULN2803              IC4                         
