"#";"Isim";"Üretici";"Adet"
"1";"BUTTON-KMR241GLFS";"";"2"
"2";"CAP_POL1206 (CAP_POL)";"";"1"
"3";"CAP0805 (CAP)";"";"2"
"4";"CAP0402 (CAP)";"";"8"
"5";"LED1206 (LED)";"";"1"
"6";"DIODESOD (DIODE)";"";"1"
"7";"598-8191-107F";"";"1"
"8";"598-8170-107F";"";"1"
"9";"MCP1700T";"";"2"
"10";"M20";"";"2"
"11";"CORTEX_JTAG_DEBUG_MINIMUM_PTH_NS (CORTEX_JTAG_DEBUG_MINIMUM)";"";"1"
"12";"INDUCTOR0603 (INDUCTOR)";"";"1"
"13";"CRYSTAL5X3 (CRYSTAL)";"";"1"
"14";"TRANSISTOR_NPNSOT23 (TRANSISTOR_NPN)";"";"2"
"15";"RESISTOR0402 (RESISTOR)";"";"14"
"16";"STM32F103CB";"";"1"
"17";"USBSMD (USB)";"";"1"
